date,sea_lvl,rolling_mean
1950-01-31,3.0575483870967743,
1950-02-28,3.077035714285714,
1950-03-31,3.0744193548387098,
1950-04-30,2.9769,
1950-05-31,2.9158,
1950-06-30,3.039892857142857,
1950-07-31,3.0604074074074075,
1950-08-31,3.0263870967741933,
1950-09-30,3.0082,
1950-10-31,3.2154193548387098,
1950-11-30,3.1095862068965516,
1950-12-31,3.162032258064516,
1951-01-31,3.147566666666667,3.066326622989875
1951-02-28,3.12568,3.0715099178082195
1951-03-31,3.0053225806451613,3.0707137428192666
1951-04-30,2.9367333333333336,3.0590860273972607
1951-05-31,2.9962903225806454,3.061306230667256
1951-06-30,3.0317241379310347,3.066406991025035
1951-07-31,3.0511333333333335,3.0680607305936074
1951-08-31,3.027862068965517,3.0658081247047706
1951-09-30,3.0523000000000002,3.067730867579909
1951-10-31,3.08858064516129,3.0700916482545293
1951-11-30,3.1574074074074074,3.0624257737189247
1951-12-31,3.1283000000000003,3.065871598173516
1952-01-31,3.229548387096774,3.065653468846664
1952-02-29,3.111862068965517,3.068297213037317
1952-03-31,3.0391612903225806,3.0672200618647816
1952-04-30,2.945666666666667,3.0688411872146117
1952-05-31,2.9410000000000003,3.067296894977169
1952-06-30,3.0046363636363638,3.065182191780822
1952-07-31,3.0208214285714283,3.064306457925636
1952-08-31,3.0223548387096772,3.0621648254529386
1952-09-30,2.9963333333333333,3.0608192694063927
1952-10-31,2.935032258064516,3.0519219619973486
1952-11-30,3.0042,3.042694794520548
1952-12-31,3.257096774193548,3.0431894829871853
1953-01-31,3.300451612903226,3.053628988068935
1953-02-28,2.975375,3.0494729452054794
1953-03-31,3.0368064516129034,3.037593460008838
1953-04-30,2.9652000000000003,3.0344676712328766
1953-05-31,3.028225806451613,3.0403139195757842
1953-06-30,2.991033333333333,3.046138812785388
1953-07-31,3.007967741935484,3.0458550596553247
1953-08-31,3.0333870967741934,3.044118603623508
1953-09-30,3.0293,3.0451898630136984
1953-10-31,3.0093225806451613,3.0513122403888646
1953-11-30,3.2111333333333336,3.0627709589041094
1953-12-31,3.0817419354838713,3.067615289438798
1954-01-31,3.2360645161290322,3.0582207688908527
1954-02-28,3.1759999999999997,3.0563670254403132
1954-03-31,3.027548387096774,3.068480512593902
1954-04-30,2.9814333333333334,3.070444292237443
1954-05-31,2.9940322580645162,3.0654574458683164
1954-06-30,3.0742333333333334,3.0672551598173516
1954-07-31,3.034967741935484,3.0726670790985415
1954-08-31,3.032870967741936,3.0739878038002653
1954-09-30,3.019566666666667,3.07473497716895
1954-10-31,3.034448275862069,3.0737641946150216
1954-11-30,3.131266666666667,3.071895707762557
1954-12-31,3.155870967741935,3.069188068935042
1955-01-31,3.0362272727272726,3.068174097135741
1955-02-28,2.8994,3.054992876712329
1955-03-31,2.9240645161290324,3.036725143614671
1955-04-30,3.0362,3.0287846575342465
1955-05-31,2.9288064516129033,3.0282471939902784
1955-06-30,2.988785714285714,3.026050587084149
1955-07-31,3.024709677419355,3.0219841802916485
1955-08-31,2.9838709677419355,3.0184123729562526
1955-09-30,2.9708666666666668,3.0161875799086757
1955-10-31,3.0067741935483867,3.0113209014582414
1955-11-30,3.063933333333333,3.0107082191780825
1955-12-31,3.191225806451613,3.011306230667256
1956-01-31,3.247225806451613,3.0221977905435264
1956-02-29,3.0320689655172415,3.0253700519603215
1956-03-31,3.0207333333333333,3.0375056621004566
1956-04-30,2.947666666666667,3.037603652968037
1956-05-31,2.992,3.036720939334638
1956-07-31,3.033190476190476,3.0446601435094585
1956-08-31,2.982896551724138,3.0432495040151157
1956-09-30,2.9934333333333334,3.0415829223744293
1956-10-31,3.0570645161290324,3.0423066725585506
1956-11-30,2.9325862068965516,3.047360226735947
1956-12-31,3.0584193548387097,3.046360318161732
1957-01-31,3.024222222222222,3.0435022831050227
1957-02-28,3.0809642857142854,3.0275962818003914
1957-03-31,3.064741935483871,3.0196107821475917
1957-04-30,2.9698333333333333,3.0161854794520546
1957-05-31,3.0839642857142855,3.017550684931507
1957-06-30,3.0606999999999998,3.025460639269406
1957-07-31,3.058655172413793,3.028943504959849
1957-08-31,3.0384615384615383,3.03205363540569
1957-09-30,3.0495666666666663,3.0346722374429222
1957-10-31,3.058793103448276,3.0415344355219647
1957-11-30,3.0197241379310347,3.040629097779877
1957-12-31,3.222870967741936,3.0502947414935924
1958-01-31,3.2186774193548384,3.066713654441007
1958-02-28,3.3286785714285716,3.089754794520548
1958-03-31,3.1031935483870967,3.097232523199293
1958-04-30,3.0831666666666666,3.1062499543378994
1958-05-31,3.0247931034482756,3.1058797354747285
1958-06-30,3.0856666666666666,3.1061665753424657
1958-07-31,3.0637096774193546,3.107227220503756
1958-08-31,3.0548387096774197,3.1073635881573134
1958-09-30,3.0441000000000003,3.110371232876713
1958-10-31,3.0610645161290324,3.1066937693327445
1958-11-30,3.0846333333333336,3.110817534246576
1958-12-31,3.1645806451612906,3.1128090145824125
1959-01-31,3.1996774193548387,3.1101736632788333
1959-02-28,3.1670357142857144,3.0993997064579255
1959-03-31,3.012709677419355,3.0913326557666814
1959-04-30,2.956566666666667,3.0769779908675803
1959-05-31,2.9824193548387097,3.0759822359699514
1959-06-30,3.0321000000000002,3.0700904109589042
1959-07-31,3.0083333333333333,3.0664742465753423
1959-08-31,3.0110645161290326,3.0613205479452055
1959-09-30,3.0816333333333334,3.061467945205479
1959-10-31,3.0338064516129033,3.063131595227574
1959-11-30,2.9994333333333336,3.056126575342466
1959-12-31,3.0748709677419352,3.0498883782589483
1960-01-31,3.1098,3.039718082191781
